batch_size,time,IAC
364,0.006285,1.678982433817741
365,0.005389,2.0905364587381117
366,0.005328,2.619488125146017
367,0.00526,2.480287462571365
368,0.005263,1.796206136959209
369,0.005265,10.052579859885233
370,0.005282,2.0663395511178697
371,0.005266,2.1025124156536146
372,0.005289,3.430548030282706
373,0.005249,2.6170363724060666
374,0.00527,2.334089519158197
375,0.005195,3.5661713840504095
376,0.005247,2.41237627038475
377,0.005222,1.959634369645343
378,0.005209,2.3726479999283643
379,0.00522,2.623611833031245
380,0.005441,2.425184620143602
381,0.005249,2.3581521966756163
382,0.005266,2.3927107310393887
383,0.005267,8.359140145770905
384,0.005223,3.329566770500249
385,0.005053,2.6257451797932294
386,0.004987,2.662407533080869
387,0.004947,3.154073078460034
388,0.005289,2.976595412776692
389,0.004897,2.494515607597805
390,0.004865,3.2135168987703464
391,0.005076,2.868311140043033
392,0.004977,3.260215678435372
393,0.004881,2.8837509627134144
394,0.004909,2.3284171731053442
395,0.004894,2.219799050126005
396,0.005172,2.4714257013157175
397,0.004887,2.307589414530571
398,0.005007,4.318939654792678
399,0.005012,10.214581846978056
400,0.004882,2.766191727101773
401,0.004893,2.641040541239776
402,0.004856,2.9133729209678623
403,0.004846,3.018625457072006
404,0.00499,2.3754871642302353
405,0.004756,2.0691320700526656
406,0.00477,3.1973503874707907
407,0.004843,3.1372553722705665
408,0.004701,3.041874735292475
409,0.0047,3.045581710776008
410,0.004669,2.5322626543152778
411,0.004693,2.529048384485418
412,0.004807,2.328070497746268
413,0.004695,2.5766359474322473
414,0.004717,2.283120577976788
415,0.004723,11.252876763755395
416,0.004665,3.58401098423923
417,0.004521,2.22251184725159
418,0.004488,2.3848267358624278
419,0.0045,2.6281288760590322
420,0.004612,2.891755212477641
421,0.004513,2.3815271157152282
422,0.004557,1.7417035228948285
423,0.004499,1.4998030823439636
424,0.004528,1.7399431985121612
425,0.004489,2.0925703051784734
426,0.004494,2.3914236543426033
427,0.004529,1.9092009018527702
428,0.00472,2.0185575094809445
429,0.004646,2.091183241394583
430,0.004565,1.7190184236750468
431,0.004638,2.5315321826744315
432,0.004526,1.545099371875355
433,0.004526,10.144465938359394
434,0.004505,5.745701806707901
435,0.004322,2.2252432808867724
436,0.004436,1.6149782098282919
437,0.004336,2.309018667322983
