batch_size,time,IAC
2054,0.008579,35.178670673347014
2055,0.007836,35.189768306210084
2056,0.008059,35.18220343260207
2057,0.008036,34.567259591152876
2058,0.008089,34.98266822735616
2059,0.007985,35.4842312405284
2060,0.008046,36.41790965047338
2061,0.008305,38.147435164693036
2062,0.008475,38.241209324292036
2063,0.008007,38.465729640074244
2064,0.008015,38.561351603640574
2065,0.007995,37.91014555190126
2066,0.007848,36.15503152798035
2067,0.008048,35.74135491311428
2068,0.007989,35.93496459083404
2069,0.008017,34.68715283342414
2070,0.007931,33.90064413349651
2071,0.00792,33.18207691557691
2072,0.007873,33.18581154305476
2073,0.007807,32.59264461310162
2074,0.007961,32.9578853159462
2075,0.008033,32.95733134469122
2076,0.007819,32.30038578559713
2077,0.00788,32.65343475443751
2078,0.007862,32.28958814101616
2079,0.007868,29.49872780630326
2080,0.007828,30.17308076321375
2081,0.007822,40.929580574407304
2082,0.007878,36.820786701287645
2083,0.007804,46.13215840873913
2084,0.00781,34.79414789171611
2085,0.008078,35.781005259079265
2086,0.007991,34.65182296023674
2087,0.008082,33.34860434680413
2088,0.008082,32.588797219228724
2089,0.007938,33.116858743797074
2090,0.007967,33.236868430053214
2091,0.008162,32.77494666764182
2092,0.008164,31.93155398720949
2093,0.008118,31.41075577648703
2094,0.008083,32.607709515639684
2095,0.00862,32.16187618821293
2096,0.008606,30.559489122224583
2097,0.007989,29.853650015938044
2098,0.008132,28.63075354407917
2099,0.008299,27.404415465618047
2100,0.008196,28.472172526836623
2101,0.008216,28.574747771423556
2102,0.008228,30.67952880582632
2103,0.008003,29.837375962179923
2104,0.007917,30.21211247196456
2105,0.008139,32.561029295598615
2106,0.007807,33.4657406044727
2107,0.007896,32.9751342777711
2108,0.008186,31.715396443551
2109,0.008069,32.06936841827854
2110,0.008026,30.706739173073952
2111,0.00811,31.440959787833542
2112,0.008007,31.98155369270424
2113,0.007929,31.593207044747633
2114,0.008163,31.727264402503025
2115,0.008143,30.61871894747277
2116,0.008162,31.152796900830023
2117,0.007895,31.595619800279874
2118,0.00812,30.352152460966444
2119,0.007958,30.75668026891505
2120,0.007951,31.837952018107448
2121,0.007966,32.41221743463586
2122,0.007814,32.395181860526336
2123,0.007853,29.033641940374643
2124,0.007932,27.99276534405916
2125,0.007938,31.539640374995475
2126,0.007826,33.523752689488006
2127,0.007797,35.7572176259842
2128,0.007883,25.46169715277564
2129,0.007921,25.497993409458108
2130,0.007804,25.785511870575018
2131,0.007906,24.7165224185365
2132,0.007851,24.96440950903745
2133,0.007882,24.852035030782833
2134,0.007908,25.811353294328935
2135,0.007803,25.17295489322639
2136,0.007791,25.061477854427835
2137,0.007802,24.672690700516462
2138,0.007817,24.68722852117234
2139,0.007839,24.959477103646172
2140,0.007821,25.950509521494887
2141,0.007722,26.215045364740647
2142,0.008016,26.30579265479263
2143,0.007886,25.328751118292143
2144,0.007934,24.553868207490805
2145,0.00778,25.066864152159578
2146,0.008064,27.596864275101023
2147,0.008132,27.859468542224047
2148,0.00794,28.320427310871676
2149,0.007885,28.028780285212026
2150,0.007804,27.40291962703597
2151,0.007779,27.55436824059429
2152,0.007999,27.886958593390666
2153,0.007807,27.35172893353083
2154,0.007899,27.640712588793136
2155,0.008,28.912854935763583
2156,0.007954,28.590476195214865
2157,0.007903,29.394105469493077
2158,0.008027,28.97045165406613
2159,0.007774,29.311585269441405
2160,0.007756,29.594573227038364
2161,0.007889,30.330069064386237
2162,0.007763,30.772113805711864
2163,0.008005,32.328779579206
2164,0.007898,31.73518888937247
2165,0.007963,31.513058061152417
2166,0.007808,32.213414454329936
2167,0.007813,35.80727875969448
2168,0.007795,38.141051572177346
2169,0.00786,37.51870315240655
2170,0.007768,36.59542606725709
2171,0.007824,38.56138322128087
2172,0.007852,51.806986002810206
2173,0.008052,39.96860725325194
2174,0.007928,37.92165986772375
2175,0.007941,38.50947291496378
2176,0.007742,38.32922696671078
2177,0.00792,39.96985137769579
2178,0.007889,40.6406700823352
2179,0.007886,39.41633873507729
2180,0.007988,36.07065272807813
2181,0.007969,35.98056139191807
2182,0.007957,36.42888574515189
2183,0.00802,37.41647299428415
2184,0.007929,37.1760789499649
2185,0.008192,36.83559560228454
2186,0.008023,36.46364776958397
2187,0.008075,35.56851055437638
2188,0.008201,34.34166975115891
2189,0.008151,34.09278752527784
2190,0.0082,34.52554737517887
2191,0.008244,33.0437265914761
2192,0.008054,32.18913345337783
2193,0.007967,31.94696901264037
2194,0.008025,32.323080014064345
2195,0.007867,32.012818611346816
2196,0.007885,31.695594627260167
2197,0.008202,32.07348301205336
2198,0.008577,32.68687179017112
2199,0.008062,34.400774711805994
2200,0.007953,34.81146530010638
2201,0.007821,35.76701672031706
2202,0.00803,35.26068311831127
2203,0.007934,33.71434719314029
2204,0.007902,32.73136353681796
2205,0.00789,31.778629077241686
2206,0.007909,31.454824923918057
2207,0.008,30.54738665469232
