batch_size,time,IAC
2208,0.008024,30.966687235734856
2209,0.007919,31.33394313101709
2210,0.007879,32.41315464651489
2211,0.008036,31.554799270466095
2212,0.007972,30.763982925087642
2213,0.008264,29.15604597972866
2214,0.007952,28.051481442181114
2215,0.008025,30.217094831185378
2216,0.008273,29.488382561626622
2217,0.008253,27.22432613642618
2218,0.007999,25.73176217372979
2219,0.007972,25.754301709084903
2220,0.008185,43.122460583416284
2221,0.007934,28.988794315090104
2222,0.008133,29.072350820451895
2223,0.00812,29.12529761962237
2224,0.008007,27.872602144433728
2225,0.007994,29.0548878829121
2226,0.007992,29.16745237113467
2227,0.007804,29.729536136892587
2228,0.007888,30.458464876758626
2229,0.008108,30.077995369310734
2230,0.007812,29.742617646207957
2231,0.007937,30.640746251491443
2232,0.007952,30.860025522628945
2233,0.007875,29.832656305837467
2234,0.007792,29.074683098349674
2235,0.007736,30.243646786909885
2236,0.009557,29.930616336980894
2237,0.008109,29.89872669577881
2238,0.007908,29.679321619397943
2239,0.007802,27.5590078627186
2240,0.007972,26.074994700018507
2241,0.007883,25.068629378864472
2242,0.008154,24.694782127625153
2243,0.007724,24.710346845609376
2244,0.007653,24.017007314278235
2245,0.007789,22.402042715960558
2246,0.007765,21.09347488513056
2247,0.007787,20.74300749892608
2248,0.008338,21.553280644952125
2249,0.007855,22.704154420657364
2250,0.007973,22.905486209317814
2251,0.008206,24.251927237551296
2252,0.007945,24.878253642421654
2253,0.007996,25.385497626190816
