jump_size,time,IAC
1,7.528677,30.5264950067957
2,3.731211,30.52665192772317
3,2.493467,30.525806466280223
4,1.884951,30.524456172958654
5,1.541618,30.529287701283305
6,1.279049,30.526718390379255
7,1.080119,30.531093516187827
8,0.936527,30.52981844534521
9,0.840144,30.49947951647289
10,0.744278,30.500449757131452
11,0.679506,30.50623561322218
12,0.626276,30.563937638226857
13,0.577451,30.539291026392323
14,0.546695,30.52079616427741
15,0.512861,30.512701704996655
16,0.474802,30.533374157471393
17,0.443987,30.558415345886186
18,0.406727,30.493130845349732
19,0.397879,30.506071684876424
20,0.376983,30.49509261025679
21,0.373382,30.51107777977358
22,0.339803,30.45004445467343
23,0.327753,30.566212058309954
24,0.312276,30.583278594821486
25,0.308442,30.561364848078664
26,0.296549,30.503582974872163
27,0.287085,30.526372831544673
28,0.276647,30.48430158134409
29,0.272881,30.468355706677784
30,0.264783,30.44425366691492
31,0.256718,30.603917185969145
32,0.251841,30.52247709076793
33,0.236979,30.382124021617162
34,0.229446,30.504539154070468
35,0.22116,30.501808315353617
36,0.219792,30.659174022376757
37,0.214945,30.713501215274636
38,0.209301,30.689876977174357
39,0.200126,30.359416307095152
40,0.189377,30.372242767301486
41,0.185767,30.391822047022735
42,0.183026,30.442546626729847
43,0.175018,30.694070558635598
44,0.169695,30.54264155540289
45,0.174073,30.32886717940852
46,0.165538,30.50353052394534
47,0.163078,30.561874028485445
48,0.15963,30.651728778276855
49,0.161468,30.50738935902019
50,0.158293,30.413895847341653
51,0.155869,30.431034951165984
52,0.153898,30.415852695536863
53,0.150285,30.45255385036742
54,0.145514,30.418194882794335
55,0.145581,30.24431534287967
56,0.135444,30.510335362974264
57,0.132735,30.673852842375293
58,0.133277,30.394653590662173
59,0.129215,30.36968201033722
60,0.135854,30.643325473433766
61,0.136085,30.737373392939404
62,0.129283,30.294210228680544
63,0.125068,30.628469365032807
64,0.1242,30.719981342255018
65,0.120252,30.780832585538967
66,0.113569,30.326591672576047
67,0.110989,30.62659691920696
68,0.111998,30.62633926012547
69,0.11196,30.945050698578996
70,0.107044,30.613832733847143
71,0.106202,30.853278916936915
72,0.108913,30.37754144612127
73,0.102363,30.269281397976965
74,0.101462,31.25342246025231
75,0.101976,31.287332443872018
76,0.098489,30.21523977693529
77,0.099322,30.120728374408177
78,0.09903,30.320064125261506
79,0.096327,30.18643718696355
80,0.099707,30.330539987421314
81,0.095625,30.11599304735208
82,0.095632,30.30432508243909
83,0.090931,30.378144342250177
84,0.091988,30.54281382684589
85,0.093827,30.295262224587145
86,0.092735,30.44889556131417
87,0.089139,30.355922307137664
88,0.086038,30.742542689443876
89,0.087353,30.09631387039702
90,0.086063,30.520415899812903
91,0.083088,30.48400497182965
92,0.082477,30.719528031727524
93,0.0845,30.939805447883053
94,0.084954,30.408912475210922
95,0.081903,30.289213323491488
96,0.082159,30.252209450287967
97,0.08143,30.57147499079351
98,0.079326,30.451584783213292
99,0.079396,30.754909606573314
100,0.077588,30.714378082123392
101,0.078639,30.454349658310225
102,0.078758,30.194194116074367
103,0.077041,30.677772393047043
104,0.076092,30.262991352816186
105,0.074832,29.953104123244174
106,0.074123,30.039111167348324
107,0.07354,30.08960059489386
108,0.071842,30.811076396061065
109,0.073177,29.961439760094677
110,0.069881,30.447093994197136
111,0.068489,30.768487496547653
112,0.067954,30.831872993967355
113,0.067862,30.809890091204565
114,0.0704,30.87840778910134
115,0.067045,30.243241939925227
116,0.067719,30.439455400323162
117,0.065901,30.492720958256825
118,0.069109,30.01847653847474
119,0.068244,30.192134008845734
120,0.064778,30.414312882588934
121,0.062846,30.05912474368757
122,0.066988,30.417768822805428
123,0.06437,30.467643945237292
124,0.060886,30.063222739009177
125,0.060711,30.274509973556334
126,0.059376,30.740127218225123
127,0.059613,30.209863084661638
128,0.062951,30.619722142689735
129,0.062536,30.840539240834257
130,0.060367,30.621708107254896
131,0.059026,30.187342266936987
