batch_size,time,IAC
364,0.00571,82.22147170007268
365,0.005304,80.84439437461168
366,0.005357,79.61859726758483
367,0.005413,79.09159989745667
368,0.005408,78.54604379317362
369,0.005377,86.04226897822863
370,0.005356,121.7064347952331
371,0.005372,82.97118610161421
372,0.005413,83.11027670477553
373,0.005362,82.87911341123962
374,0.005308,81.62399049098221
375,0.005137,79.64815145069838
376,0.005126,76.6618426181454
377,0.005125,75.44910813003763
378,0.005116,75.41288001253857
379,0.005134,76.71555747644499
380,0.005328,78.94676284049041
381,0.005298,78.95121562910062
382,0.005291,76.3852269329921
383,0.005291,80.01468993317826
384,0.005289,110.14221312025454
385,0.00501,77.99936519957923
386,0.005015,77.68895303246548
387,0.005025,77.08704115757504
388,0.005013,76.74751714678882
389,0.005089,76.17961635024614
390,0.005107,76.39182610548735
391,0.005052,76.54646748570188
392,0.005102,76.5079364554298
393,0.005056,75.66868231552607
394,0.004977,75.36323924775672
395,0.004947,76.246103008818
396,0.005036,77.23450694393391
397,0.005093,77.38961564497247
398,0.005041,80.51000613217462
399,0.005124,101.70585469796991
400,0.004883,81.21916918556299
401,0.004921,79.24650429061687
402,0.004901,76.30586281415265
403,0.004912,74.6571000580542
404,0.004892,72.472444354083
405,0.004918,70.3247296959358
406,0.004912,69.46554862393637
407,0.004939,70.02508119099767
408,0.004953,69.8590517181077
409,0.004823,68.79892179534744
410,0.004961,68.51664727936263
411,0.004932,68.31938918276386
412,0.004856,68.05725859066202
413,0.004845,67.75875297217593
414,0.004845,66.7264289609244
415,0.004844,73.17871025433267
416,0.004987,108.97856536502687
417,0.004749,72.0011420222433
418,0.004736,72.69076007329153
419,0.004758,72.079480341332
420,0.004779,70.37985845418919
421,0.004741,70.43068998813821
422,0.004706,71.24702737910144
423,0.004617,71.18755182540654
424,0.004714,71.47073715066647
425,0.004713,72.15442481585599
426,0.004722,72.86321239782791
427,0.004727,72.60719218415603
428,0.004725,72.07124602386969
429,0.004762,71.76721957789039
430,0.004739,71.69940381292989
