jump_size,time,IAC
1,7.710117,30.5264950067957
2,3.839686,30.52665192772317
3,2.562,30.525806466280223
4,1.891669,30.524456172958654
5,1.509919,30.529287701283305
6,1.260308,30.526718390379255
7,1.088345,30.531093516187827
8,0.918558,30.52981844534521
9,0.815421,30.49947951647289
10,0.736298,30.500449757131452
11,0.67301,30.50623561322218
12,0.614245,30.563937638226857
13,0.575005,30.539291026392323
14,0.53797,30.52079616427741
15,0.502673,30.512701704996655
16,0.458842,30.533374157471393
17,0.441985,30.558415345886186
18,0.418013,30.493130845349732
19,0.404405,30.506071684876424
20,0.388632,30.49509261025679
21,0.360112,30.51107777977358
22,0.347642,30.45004445467343
23,0.335012,30.566212058309954
24,0.310093,30.583278594821486
25,0.301353,30.561364848078664
26,0.288076,30.503582974872163
27,0.273672,30.526372831544673
28,0.270263,30.48430158134409
29,0.261909,30.468355706677784
30,0.253977,30.44425366691492
31,0.249132,30.603917185969145
32,0.231578,30.52247709076793
33,0.223745,30.382124021617162
34,0.22511,30.504539154070468
35,0.219999,30.501808315353617
36,0.206053,30.659174022376757
37,0.202772,30.713501215274636
38,0.197546,30.689876977174357
39,0.191126,30.359416307095152
40,0.186378,30.372242767301486
41,0.182477,30.391822047022735
42,0.176424,30.442546626729847
43,0.175612,30.694070558635598
44,0.175761,30.54264155540289
45,0.171982,30.32886717940852
46,0.16756,30.50353052394534
47,0.162278,30.561874028485445
48,0.159081,30.651728778276855
49,0.155047,30.50738935902019
50,0.14885,30.413895847341653
51,0.151426,30.431034951165984
52,0.146108,30.415852695536863
53,0.146013,30.45255385036742
54,0.14558,30.418194882794335
55,0.143298,30.24431534287967
56,0.139004,30.510335362974264
57,0.138877,30.673852842375293
58,0.133163,30.394653590662173
59,0.13102,30.36968201033722
60,0.127201,30.643325473433766
61,0.1253,30.737373392939404
62,0.1268,30.294210228680544
63,0.120747,30.628469365032807
64,0.118065,30.719981342255018
65,0.114278,30.780832585538967
66,0.115865,30.326591672576047
67,0.111745,30.62659691920696
68,0.111421,30.62633926012547
69,0.107447,30.945050698578996
70,0.106581,30.613832733847143
71,0.109294,30.853278916936915
72,0.104608,30.37754144612127
73,0.102931,30.269281397976965
74,0.10274,31.25342246025231
75,0.099948,31.287332443872018
76,0.09884,30.21523977693529
77,0.100394,30.120728374408177
78,0.098966,30.320064125261506
79,0.097719,30.18643718696355
80,0.096867,30.330539987421314
81,0.094568,30.11599304735208
82,0.094289,30.30432508243909
83,0.09674,30.378144342250177
84,0.095119,30.54281382684589
85,0.093279,30.295262224587145
86,0.091129,30.44889556131417
87,0.090229,30.355922307137664
88,0.090084,30.742542689443876
89,0.088087,30.09631387039702
90,0.087724,30.520415899812903
91,0.086717,30.48400497182965
92,0.085191,30.719528031727524
93,0.084877,30.939805447883053
94,0.084051,30.408912475210922
95,0.083209,30.289213323491488
96,0.084188,30.252209450287967
97,0.078577,30.57147499079351
98,0.079555,30.451584783213292
99,0.079969,30.754909606573314
100,0.07651,30.714378082123392
101,0.077011,30.454349658310225
102,0.074841,30.194194116074367
103,0.074849,30.677772393047043
104,0.075709,30.262991352816186
105,0.075447,29.953104123244174
106,0.074572,30.039111167348324
107,0.072062,30.08960059489386
108,0.071929,30.811076396061065
109,0.072678,29.961439760094677
110,0.071182,30.447093994197136
111,0.071191,30.768487496547653
112,0.069207,30.831872993967355
113,0.071096,30.809890091204565
114,0.071059,30.87840778910134
115,0.070112,30.243241939925227
116,0.067159,30.439455400323162
117,0.065684,30.492720958256825
118,0.066105,30.01847653847474
119,0.065643,30.192134008845734
120,0.064121,30.414312882588934
121,0.063911,30.05912474368757
122,0.063706,30.417768822805428
123,0.064957,30.467643945237292
124,0.065735,30.063222739009177
125,0.064366,30.274509973556334
126,0.064537,30.740127218225123
127,0.063051,30.209863084661638
128,0.062813,30.619722142689735
129,0.062544,30.840539240834257
130,0.062214,30.621708107254896
131,0.062143,30.187342266936987
132,0.060496,30.481228307842652
133,0.059405,30.5555981286273
134,0.05963,30.459047736223187
135,0.058625,30.570885620155735
136,0.058048,30.077453678403142
137,0.058122,30.30114755085096
138,0.057746,31.059397719108336
139,0.05762,30.12727957358603
140,0.055798,30.21759205266791
141,0.055672,30.773409236709877
142,0.055607,30.42676954278324
143,0.058122,30.31086562720224
144,0.057513,30.466183803605873
145,0.055663,30.912606988555936
146,0.054541,30.219518858511886
147,0.054016,30.207535260060382
148,0.054388,31.340156505274244
149,0.055466,30.99562530341909
150,0.056001,31.46910811882146
151,0.053829,30.46770582576809
152,0.053351,30.14290023122521
153,0.053292,30.900425186898424
154,0.053444,29.995510839776372
155,0.052684,31.509243628969816
156,0.052076,30.056800264527716
157,0.051537,29.943520375138
158,0.0521,30.208498011791317
159,0.050636,30.092125285458266
160,0.049064,30.092522169348776
161,0.04902,30.714076919997982
162,0.048333,29.97163676685821
163,0.048778,30.823318819738645
164,0.050166,30.230199012704
165,0.049228,29.918548873576118
166,0.047164,30.35042180227021
167,0.046729,30.285260503800867
168,0.047216,30.46795038897866
169,0.048669,30.82106817677974
170,0.045755,30.145619941443766
171,0.045624,30.18556341371234
172,0.045799,30.52204675754302
173,0.046381,30.60001660802553
174,0.044722,30.42568566463004
175,0.045975,31.024301018732807
176,0.045037,30.83396674591269
177,0.044611,30.173439492587963
178,0.043627,30.048489872895203
179,0.043779,30.877274649958093
180,0.043426,31.291893958695233
181,0.044088,31.31686377253668
182,0.043785,31.104962087729454
183,0.043325,30.975732904194583
184,0.043422,31.59795012233547
185,0.043427,31.136005852215202
186,0.04251,30.44801226404431
187,0.043055,30.371824082886246
188,0.042531,30.00943153842905
189,0.042823,30.806616753698748
190,0.042074,30.53981995949131
191,0.041928,31.13761684744673
192,0.044153,30.067970378091193
193,0.041368,31.583621243719435
194,0.041181,31.048239121273674
195,0.041351,30.07980239159683
196,0.040687,30.144271110131328
197,0.041879,30.63131560365508
198,0.040889,30.127739733426008
199,0.040863,31.284079530234965
200,0.039951,30.17972950417248
201,0.039726,31.6476425824185
202,0.041163,29.799336872824355
203,0.040555,30.93546462757265
204,0.040494,30.23131825935522
205,0.039295,29.74095829217035
206,0.03997,31.43674628630713
207,0.038912,31.03829186193281
208,0.040075,29.901027216136896
209,0.040737,31.87038092420718
210,0.040376,30.36091104739034
211,0.04016,29.72662697433601
212,0.038448,29.84089650847801
213,0.038218,31.468596008387657
214,0.038143,30.567039209165387
215,0.038033,31.991201793073387
216,0.038068,30.12657855384836
217,0.039647,30.258175375513687
218,0.038903,29.642820532807143
219,0.036909,30.104113396517075
220,0.036475,30.626385402928413
221,0.036925,31.4642063804484
222,0.036289,31.928568572156973
223,0.036269,32.029094885469405
224,0.037064,31.998842727060236
225,0.03593,31.864954778142923
226,0.036046,31.63121563563027
227,0.037292,30.52587624506176
228,0.037681,29.97057129861157
229,0.037585,29.953983212402303
230,0.035676,29.91037335657187
231,0.035901,29.95541072150374
232,0.037242,30.217098397965845
233,0.036953,30.195130943094117
234,0.036583,31.002268627106385
235,0.036052,30.757766659530283
236,0.035604,29.791133081152946
237,0.035924,29.906953183500768
238,0.035828,30.40261265440332
239,0.034857,31.997273685226624
240,0.034413,29.94393858211466
241,0.034574,29.898480428397562
242,0.035462,30.423879181059085
243,0.034579,30.337461967376946
244,0.034795,29.474813960762837
245,0.035341,30.79561846239518
246,0.035493,30.84954912629641
247,0.034858,29.77550113069767
248,0.034415,30.403186391016668
249,0.033887,29.775837490861523
250,0.03398,30.23157674662801
251,0.033562,31.812434241289708
252,0.033561,30.324853010890827
253,0.033852,30.47835034059365
254,0.032971,30.156398452128816
255,0.033421,30.895723709371786
256,0.033002,29.756883843242967
257,0.032844,31.88823747441953
258,0.03256,29.59889735972213
259,0.032113,31.90780425621249
260,0.032816,29.9398357322247
261,0.033441,31.14496844619825
262,0.032979,29.738690376648574
263,0.032315,30.297169657185858
264,0.031864,30.071930591756843
265,0.031851,31.07320681027466
266,0.033147,30.97650878033573
267,0.032013,30.246357671239814
268,0.032224,30.182812316118508
269,0.032325,29.332252835802237
270,0.031649,30.99013360606993
271,0.031632,30.92182278210125
272,0.031123,29.970250265983267
273,0.031292,31.249904894479663
274,0.030682,30.13514799391748
275,0.030542,29.762173187698096
276,0.031558,32.055419843324394
277,0.031512,30.38260951557064
278,0.031453,29.66982196988479
279,0.031132,30.851484414602755
280,0.030785,30.30203346618711
281,0.031396,29.63217562521735
282,0.030989,30.20286778262601
283,0.030644,31.748954160943132
284,0.030819,31.127946131162506
285,0.029897,29.97445953128012
286,0.029629,30.329797894800166
287,0.029157,31.30599099473272
288,0.029547,31.266963632526917
289,0.029265,31.33824467092029
290,0.029352,30.44162727042625
291,0.029009,29.773339457360517
292,0.029467,30.18080712911804
293,0.029173,31.564249377497532
294,0.029,30.903923366009106
295,0.029022,29.532621830485724
296,0.028907,30.48920548642859
297,0.029283,29.1415901487798
298,0.029095,29.653564237320072
299,0.02903,30.629165335646427
300,0.028888,32.17933105766925
301,0.029714,31.254567744581685
302,0.029753,30.53322236041804
303,0.029339,30.491550990863537
304,0.028469,30.193129469984918
305,0.028721,30.410342123360095
306,0.028803,30.404232784332063
307,0.029291,30.07742827394702
308,0.028904,29.80975727395616
309,0.028331,29.84673959514702
310,0.028537,30.40775084891318
311,0.028411,29.827009445281558
312,0.028682,30.252609750789283
313,0.028643,29.5893504860907
314,0.028255,29.905630851044236
315,0.027874,29.153797450086206
316,0.027828,30.319291913987332
317,0.026869,29.63104660773755
318,0.027174,29.707799919336797
319,0.027747,30.037089067183988
320,0.027187,29.94690848740024
321,0.027347,29.751426633967267
322,0.027374,29.795808231962955
323,0.027883,29.28585904905985
324,0.027845,29.470870785919377
325,0.027194,29.71292026698227
326,0.026703,30.14418763010489
327,0.026684,30.46134759320058
328,0.027254,30.41408189335306
329,0.026802,29.996140874185663
330,0.026125,29.984614841127154
331,0.026464,30.95600579154098
332,0.026234,30.853791203162476
333,0.026526,32.26329000240595
334,0.026052,30.276049795258185
335,0.02649,30.011271485681664
336,0.025632,30.177061434357316
337,0.02586,30.31175749441697
338,0.025464,30.71401881492627
339,0.025704,29.757556208555897
340,0.025565,30.12453605071785
341,0.025967,31.964827091215852
342,0.025868,30.15295597668158
343,0.024863,29.66776480956057
344,0.025628,30.065003779438765
345,0.025046,29.925620964081887
346,0.026119,31.221948819574134
347,0.026212,30.323153774465805
348,0.025691,30.54433088975365
349,0.024913,30.400163358850147
350,0.025158,30.738232811405084
351,0.026157,29.70551471794534
352,0.02594,31.331047546370293
353,0.024743,31.604628165791173
354,0.025579,30.512634477648774
355,0.025298,30.20921089547278
356,0.025429,31.076512206876625
357,0.02543,30.886239174131152
358,0.024184,30.601719138701956
359,0.02447,30.226686379171205
360,0.02439,30.519015826479603
361,0.024362,28.913979314627294
362,0.024188,32.59937487902058
363,0.024633,30.003559796172226
364,0.024316,30.721664976010835
365,0.025185,30.34549830501522
366,0.024308,31.920263010626762
367,0.024258,30.598852414851105
368,0.024063,29.955508316150066
369,0.024145,30.213995674801147
370,0.024835,31.948874379701362
371,0.024914,30.131671831381585
372,0.024656,29.788447502503285
373,0.024211,31.975246542502134
374,0.023873,30.231091979921278
375,0.024206,30.41954233860598
376,0.024295,30.583480494379817
377,0.023926,32.22747309042804
378,0.024146,29.44674440815926
379,0.023099,29.75791225800864
380,0.023596,30.71826438133529
381,0.023517,30.09516127392135
382,0.022875,30.02023729908
383,0.0238,31.51631460951247
384,0.02314,30.102885149788317
385,0.023251,29.98758207353622
386,0.022812,33.10224724601239
387,0.023122,30.031905242313364
388,0.023008,29.808350419870816
389,0.023356,31.80687463878897
390,0.022862,29.758715924016588
391,0.02328,30.505779554374282
392,0.023402,29.775895989879306
393,0.022753,29.621076020364175
394,0.023693,30.63641535829426
395,0.023566,31.780184414903932
396,0.023012,29.541465570828933
397,0.022765,30.107898443225043
398,0.022698,32.48858937787958
399,0.023255,29.769609986662488
400,0.022497,30.242261141849507
401,0.022706,29.65952231142053
402,0.022224,30.829573145532052
403,0.022695,30.330238287272763
404,0.022667,29.89134977335781
405,0.023307,30.218099612227167
406,0.023097,31.80528781065418
407,0.023179,30.210144311011963
408,0.021877,30.314821357334914
409,0.022462,29.269633549087462
410,0.021816,30.350525222457804
411,0.021849,30.64399685202115
412,0.021822,29.380516154187095
413,0.022212,29.777209767641196
414,0.021854,30.025396829907603
415,0.021634,29.63886821551668
416,0.021685,28.684511599678796
417,0.02152,30.56327009402364
418,0.022096,32.842955331268854
419,0.022427,30.81363830488787
420,0.021764,30.39482722995507
421,0.021621,29.92681707794652
422,0.022298,29.933012966523584
423,0.021652,30.277636739907965
424,0.02221,29.936083787907837
425,0.021234,30.14766646894929
426,0.02173,30.289347165784488
427,0.02178,32.05552736788774
428,0.021481,29.821897996414222
429,0.021039,29.63266197665419
430,0.021184,31.336854604646703
431,0.021114,30.143899446244397
432,0.021698,29.405604022840162
433,0.021087,28.95538455483505
434,0.021393,31.08764660962623
435,0.021237,29.8919074027779
436,0.021421,30.364701100063247
437,0.02082,30.213668225693464
438,0.020566,30.571149571988634
439,0.020757,30.35572546738997
440,0.020689,31.68413969866266
441,0.021504,30.036455502957324
442,0.021498,31.601367159677473
443,0.021054,29.34227152067247
444,0.020379,33.967064694032075
445,0.020717,30.38932723447255
446,0.020464,32.73429084363279
447,0.0202,29.913280738863673
448,0.020496,33.45182010295133
449,0.02033,30.98784745954562
450,0.020357,34.19005131277886
451,0.020795,31.73106451190237
452,0.020947,32.788554364303
453,0.020327,30.099589470213175
454,0.020003,31.817896803552514
455,0.020034,30.58210368977414
456,0.020267,28.418778997980965
457,0.020449,28.658909703700346
458,0.020311,30.96715567599871
459,0.019953,29.774967587308186
460,0.019723,29.01708922715422
461,0.020055,29.777541644298662
462,0.019485,30.302794929094738
463,0.019933,31.13128950810243
464,0.01969,30.927370182517834
465,0.019824,34.151552588263165
466,0.019977,30.06937586857804
467,0.02011,30.613047691402482
468,0.020305,29.87078088762969
469,0.020008,32.10365893330791
470,0.020379,30.8577861972515
471,0.019642,29.614158646080977
472,0.019516,28.46066064797624
473,0.01951,29.676506772551583
474,0.019318,29.52287067019705
475,0.02015,30.85283116208847
476,0.019987,31.105325872331345
477,0.019428,31.420178973501447
478,0.019347,33.14979188631546
479,0.020027,30.064577613155326
480,0.019156,30.45284854677749
481,0.019382,30.098499281231557
482,0.01947,30.966212221295383
483,0.020173,32.600259807648854
484,0.020039,29.91887106417766
485,0.019931,34.40583019431112
486,0.019181,29.69627198951791
487,0.019819,29.450756078599383
488,0.019538,28.837186304884316
489,0.01891,29.47795644123519
490,0.019024,31.46541517405036
491,0.018677,31.963237689627345
492,0.019383,31.129867689814716
493,0.019688,30.21349161681453
494,0.019794,30.50935456867884
495,0.019723,28.91757901327356
496,0.019541,30.92785718570835
497,0.019148,34.26824744908098
498,0.018669,30.588137799962205
499,0.018731,30.555017167068893
500,0.018699,29.460158855516987
501,0.01879,29.500687533330318
502,0.018423,33.0393558688067
503,0.018504,29.4676103733456
504,0.018801,29.927898622039027
505,0.019362,28.816006330028067
506,0.018505,29.88781710647235
507,0.018273,31.7346254727816
508,0.018299,28.874208469025515
509,0.018697,29.264734394773157
510,0.018001,32.22200119933605
511,0.018557,31.422107994642566
512,0.018114,30.225306387719424
513,0.018255,29.863214880189172
514,0.018418,30.112130056492205
515,0.018599,34.288461885141224
516,0.01791,31.23648545876685
517,0.017961,30.450120877777074
518,0.018222,32.73914108301561
519,0.017925,28.424046505059973
520,0.018754,29.161124504740197
521,0.018847,29.486883258223752
522,0.018407,30.74184009311426
523,0.018631,33.41591103242833
524,0.017913,28.750173761471977
525,0.01821,28.564339200853507
526,0.018416,29.85988160555279
527,0.018062,31.005077448022963
528,0.017567,30.534706762072375
529,0.018,33.690477223704264
530,0.018212,30.1804703170288
531,0.018132,30.15400392109947
532,0.017644,29.701334523640814
533,0.018061,29.741761791041494
534,0.017687,29.998825004541825
535,0.018407,30.67109828163926
536,0.018588,30.2440017531434
537,0.018492,32.68677455382484
538,0.018803,28.181282653724057
539,0.018551,28.21447577482806
540,0.01855,31.561114673303262
541,0.018559,30.75086479300818
542,0.01839,32.114296418786935
543,0.018275,33.86137204810784
544,0.017555,29.0479576771944
545,0.017858,30.07900445195058
546,0.017954,32.571956308066994
547,0.017992,30.778892056796828
548,0.018175,31.123794744591514
549,0.018266,31.6646584519036
550,0.018219,30.728671136610405
551,0.018131,31.3534808655081
552,0.018149,34.47533274649783
553,0.017982,30.03289014772843
554,0.017743,30.29689424318917
555,0.017385,33.4614395134149
556,0.017573,30.673867183529076
557,0.017532,31.684229067169813
558,0.017419,30.92716780403419
559,0.017821,28.843032657041437
560,0.018048,29.49268240794499
561,0.018104,29.475268035099763
562,0.01805,28.991942308418704
563,0.017913,30.25846773747726
